均值,标准差,对比度,相异性,同质性/逆差距,角二阶矩,能量(ASM),能量(Energy),熵(Entropy)
1.2105855,62.666286,2.549122,2.3153355,23.85971,505.61203,22.12124,21.590828,8.345654
1.2522706,64.84749,2.3347878,2.0991213,23.967962,516.3292,22.377394,21.8815,8.320597
1.1159948,60.616104,2.0198324,1.7830522,24.126034,532.9304,22.802582,22.415127,8.282181
1.1256914,60.22836,1.9021164,1.6693138,24.18259,538.6579,22.94221,22.582964,8.269013
1.169209,59.035496,1.7957593,1.5591403,24.237967,544.3303,23.077246,22.738462,8.255942
1.1705675,59.01324,1.8222958,1.5855241,24.224785,543.16187,23.048326,22.703913,8.258634
1.167857,58.775936,1.8341714,1.5972962,24.218916,542.5603,23.033539,22.68556,8.259984
1.158836,58.329094,1.8161196,1.5830879,24.225704,543.12134,23.046867,22.702303,8.258695
1.1618105,58.52968,1.8346819,1.5995301,24.217655,542.1688,23.026915,22.682253,8.260911
1.163595,58.657406,1.829306,1.5942304,24.2203,542.37213,23.030352,22.683632,8.260414
1.1663699,58.726154,1.8500682,1.611613,24.211864,541.5814,23.010456,22.659073,8.262243
1.1698132,58.894222,1.8631366,1.6271919,24.203892,540.90845,22.994606,22.641153,8.263768
1.1597465,58.324173,1.9128302,1.6753377,24.179934,538.17865,22.918941,22.545828,8.270775
1.1110718,60.60821,2.2514172,2.012924,24.011242,521.4757,22.51966,22.077677,8.309072
1.053025,61.34581,2.3812168,2.1419604,23.946806,515.25543,22.366299,21.895111,8.323576
1.0534314,61.266376,2.3982623,2.1589873,23.93829,514.11865,22.335995,21.854158,8.326188
1.1360741,61.37753,2.5298033,2.2911997,23.872162,506.9972,22.15444,21.619467,8.341854
1.3277198,65.77754,1.9967599,1.7663047,24.134119,533.4809,22.809366,22.418333,8.281242
1.229925,65.51963,2.2574635,2.0188582,24.008387,520.84607,22.495543,22.040144,8.310713
1.2195253,65.15653,2.38516,2.149529,23.942814,513.91327,22.31975,21.819014,8.326451
1.2029307,64.6664,2.3952541,2.1587157,23.938274,513.21136,22.303621,21.794771,8.327676
1.1994954,64.45098,2.4683356,2.2295966,23.902966,509.7589,22.214527,21.684685,8.335899
1.1981534,64.5297,2.506641,2.272395,23.881245,507.3515,22.154547,21.608347,8.341095
1.2053634,64.70482,2.4690228,2.2333534,23.900877,509.5946,22.209284,21.67897,8.336426
1.0453352,60.140457,1.7223921,1.482228,24.276697,548.0597,23.162706,22.83886,8.247762
1.0079488,58.87218,1.6966202,1.4579828,24.2887,549.64777,23.197187,22.87965,8.2443495
1.009985,59.03524,1.6867558,1.4518372,24.291489,549.8866,23.202461,22.88385,8.243729
1.0105859,58.965538,1.7041584,1.4735438,24.28031,548.52234,23.169907,22.847109,8.246926
1.0132351,58.988583,1.7516274,1.5179725,24.258327,546.4754,23.117867,22.781492,8.251613
1.0136608,59.021595,1.7435453,1.5087878,24.263006,547.1209,23.134232,22.80209,8.25018
1.0038341,58.814224,1.7191185,1.4846451,24.275042,548.12427,23.156086,22.825085,8.247873
0.99507564,58.518982,1.7480761,1.513149,24.260822,546.6953,23.118603,22.775808,8.25113
0.9929187,58.439133,1.7466534,1.5105052,24.26226,546.9986,23.127785,22.78999,8.2505
0.9925723,58.451775,1.7627288,1.5304646,24.251978,545.797,23.09711,22.750647,8.253183
0.9976512,58.63066,1.7741355,1.5395349,24.247604,545.4903,23.0889,22.740557,8.253956
1.0080613,58.94044,1.7256135,1.4911401,24.271795,547.96716,23.154787,22.826002,8.248208
1.0126728,59.023834,1.7085196,1.4722229,24.281412,548.7686,23.176037,22.854795,8.24649
1.0123953,59.076878,1.7013801,1.4688191,24.282827,549.0967,23.182564,22.861782,8.245786
1.0072653,58.922913,1.7358701,1.5020541,24.266306,547.3142,23.136854,22.802765,8.249857
1.0038811,58.95339,1.7389169,1.5040746,24.265368,547.23737,23.13296,22.794598,8.249928
1.0023929,58.896656,1.7405516,1.5074351,24.263563,547.32385,23.134382,22.796604,8.249822
0.9999281,58.878086,1.7437488,1.5112473,24.261597,546.7986,23.121607,22.780396,8.250933
0.9965617,58.78999,1.7264035,1.4897251,24.272688,547.97424,23.150423,22.815733,8.248214
0.98952794,58.55083,1.7534975,1.5210595,24.256683,546.4394,23.112823,22.771416,8.251744
0.9785724,58.249374,1.7544092,1.5184008,24.258284,546.367,23.109886,22.76338,8.251767
0.97304714,57.948997,1.782537,1.5480424,24.243351,545.019,23.075594,22.722027,8.255
0.9805175,58.21337,1.5547333,1.3193907,24.357733,556.67725,23.36522,23.076946,8.228258
0.9917944,58.79727,1.5405407,1.3080391,24.363201,557.1679,23.373507,23.081005,8.227137
