cA,cH,cV,cD,mean
182.9804174,-0.127266284,-0.14196457,-0.21040947,45.62519426
182.3856361,-0.125677619,-0.142333514,-0.211210683,45.47660356
181.9644985,-0.124141366,-0.143451161,-0.20806879,45.37220929
180.9142552,-0.125853918,-0.143585157,-0.203637806,45.11029459
180.8706172,-0.126593209,-0.146163508,-0.202414884,45.09886139
179.806007,-0.12782642,-0.141014607,-0.202040085,44.83378146
179.2445361,-0.125446371,-0.1451637,-0.201291242,44.69315869
179.0749228,-0.124836033,-0.146384079,-0.199776783,44.65098147
177.3714864,-0.127842945,-0.146634249,-0.197908821,44.22477509
177.0548994,-0.128323174,-0.144697514,-0.202171643,44.14492676
176.2280472,-0.130191965,-0.141002883,-0.198458414,43.93959848
175.8335665,-0.129598625,-0.142937444,-0.198907567,43.84053073
174.9503693,-0.127897051,-0.145558486,-0.194996274,43.62047938
174.0184319,-0.129127667,-0.14448788,-0.19537044,43.38736148
174.5354882,-0.130119847,-0.144656509,-0.194471815,43.51656001
174.3695084,-0.131239958,-0.146580591,-0.198499891,43.473297
174.3019431,-0.127378292,-0.140355697,-0.197730036,43.45911977
173.248242,-0.12768561,-0.14231842,-0.191693741,43.19663605
171.8496935,-0.128290704,-0.145006929,-0.192004908,42.84609773
171.4195595,-0.128434539,-0.14260666,-0.191535631,42.73924566
171.4588606,-0.127155519,-0.143951226,-0.189260981,42.74962322
170.2865514,-0.131662929,-0.15019701,-0.189142553,42.45388723
169.4119846,-0.132524365,-0.143870637,-0.187984398,42.2369013
169.0535445,-0.133367613,-0.144093023,-0.183694022,42.14809745
168.5298295,-0.131862014,-0.151429251,-0.185887652,42.01516264
168.2753899,-0.130238899,-0.147273689,-0.186540343,41.95283424
167.2256876,-0.129878573,-0.145988545,-0.182585458,41.69180874
166.5308806,-0.133135089,-0.146192011,-0.18673811,41.51620386
165.5501008,-0.13225528,-0.14853737,-0.183507567,41.27145015
164.3626202,-0.132520275,-0.145517033,-0.182963372,40.97540487
162.406384,-0.131226555,-0.152542018,-0.180443913,40.48554289
161.7902145,-0.130898186,-0.148183144,-0.180783386,40.33258745
160.0824178,-0.132629048,-0.145364723,-0.179413477,39.90625264
159.3868827,-0.130734406,-0.145634679,-0.178542611,39.73299275
158.9562215,-0.129468121,-0.141886431,-0.17670449,39.62704061
157.1352398,-0.129495453,-0.145572466,-0.177772145,39.17059995
157.0304248,-0.126915044,-0.141311017,-0.17473278,39.1468665
156.1314566,-0.130528233,-0.144141384,-0.173323605,38.92086586
155.1812911,-0.131812654,-0.147551687,-0.175558574,38.68159205
154.8238615,-0.13057767,-0.143644083,-0.17562901,38.59350269
153.8660289,-0.132634489,-0.145960453,-0.174223253,38.35330269
152.6692143,-0.131525888,-0.14768981,-0.171958798,38.05450995
182.458708,-0.123759652,-0.140919348,-0.220602538,45.49335661
199.0765034,-0.119222502,-0.126619852,-0.225458092,49.65130075
213.9728458,-0.11406403,-0.126717551,-0.200398602,53.3829164
212.5714985,-0.111352973,-0.12148685,-0.206234405,53.03310606
211.3379704,-0.112075345,-0.120409375,-0.207510487,52.7244938
209.0795942,-0.111918636,-0.122642234,-0.208695104,52.15908456
207.8637213,-0.11636039,-0.124769837,-0.211592848,51.85274955
206.7445436,-0.114601819,-0.127196566,-0.212293354,51.57261297
