原始LBP特征,旋转不变LBP特征,等价模式LBP特征,旋转不变等价模式LBP特征
100.43429723119301,12.262421807153713,36.46397022904907,5.464843325960703
100.5557514145951,12.27068336476878,36.52208015021168,5.473653590425532
100.3046009959835,12.240923438856926,36.40688393874837,5.454496343085107
100.06087550545485,12.222007893915546,36.35616544656426,5.450611719089231
99.96241824522362,12.198080628528007,36.29776378636561,5.439326337250326
99.89518045416305,12.195030937907077,36.3128209977475,5.443295769105514
100.18608116451368,12.2259815661637,36.4116522606383,5.4565262191977855
100.20881391120278,12.220360077209076,36.388235114524534,5.45175662518997
100.12038390821755,12.223500936278766,36.343612611267915,5.447084560220365
100.0548227685356,12.207769078376032,36.35068431461681,5.4478363818931825
98.99778863506839,12.09719404716674,35.95084578878094,5.388910609123969
98.91169678476444,12.077698416467651,35.926439783027575,5.384700746987625
98.87790254898502,12.061763867781155,35.875142901242945,5.376725415897742
98.85069067520625,12.063645330140035,35.87942951449197,5.377461548116587
97.83724269295485,11.938912050857578,35.49146917743161,5.318760516174555
97.61885863886778,11.906973835079244,35.42898105053192,5.308600534628745
97.62305620386452,11.91649266920864,35.44711297085323,5.312403743079678
97.69065866872015,11.918713363004777,35.44830070492293,5.312022531752063
95.80724742523338,11.625619097372992,34.74314455669236,5.204061278766826
100.96822122299717,12.233657101470907,36.40336102027247,5.4508182262266605
101.30019098729917,12.266118581741207,36.574569430498265,5.474922316000868
102.13622813653387,12.346101721938776,36.87866709183673,5.517860959210812
102.15802206022036,12.354718200445072,36.894212372448976,5.5213296006567525
102.43882639491967,12.381429707853886,36.950622744110944,5.528640886208207
102.58067432425098,12.40993871784086,37.02002907213417,5.5402332724978285
102.37648922600955,12.3735167105406,36.92399392436496,5.525868093247937
102.31493610575879,12.370857984151106,36.9186243147525,5.525254084346504
102.17493232332826,12.367294357902736,36.883637256431825,5.520123632897308
102.0921933517423,12.342459224381242,36.835641096531695,5.5123416637266605
101.75836714339991,12.404131499674337,36.887046956415546,5.531406894539731
100.4304172716294,12.267317764871907,36.37284248805906,5.459479228859097
100.07678588390144,12.213322297003907,36.233243239117456,5.434929473784194
100.27529691231545,12.24185505319149,36.30924422628094,5.446328498154581
99.85018097997178,12.126792838145896,36.008687293068824,5.395341165056448
93.87026093682154,11.404742540300695,33.8991053618921,5.073604741098567
94.94370751126249,11.560389556420972,34.44528875379939,5.162549103750543
95.38744088892206,11.593585896792227,34.53367423265849,5.174406938639818
96.5814503161637,11.713147592813721,34.93428959848567,5.232714886153929
96.42131738832501,11.727387256431829,34.951258803055794,5.2376642728234915
96.30617290965588,11.700352207039732,34.84825923387972,5.22048559284086
95.94633273854755,11.664126529933782,34.77907128609422,5.212446655856492
101.38390864158163,12.263019702561875,36.87476084183673,5.52151532986865
101.78249328321755,12.31315005224164,37.10791460866261,5.557175762592271
101.79455423292987,12.308541593166522,37.07886240433673,5.552861162749674
101.82144044452887,12.32164991994138,37.11641617251954,5.558574668231654
101.61760729890361,12.29314811862245,37.02736961639709,5.5449519817900565
101.66409557506513,12.305867177323057,37.0768142945343,5.553041803490013
101.764240935736,12.329132941407947,37.12044666603344,5.560500230677377
102.02884993758141,12.353035612516283,37.16572388596396,5.566751417987407
102.08075404363873,12.361769125868433,37.19496097142314,5.570189528603994
101.96902477746417,12.348335560953105,37.16557377605297,5.566816720039079
101.87384491695614,12.350885309243377,37.1489938395571,5.566116631160443
101.8183843933185,12.323174765251846,37.10322939847482,5.556794127225358
101.68689574400238,12.310066438476987,37.07001312825662,5.552075417933131
101.37675806692357,12.28983001112679,37.024919093302216,5.548461331008467
101.6643343091891,12.314541749212983,37.05016596898068,5.549410754993486
101.59800396222319,12.309665721341728,37.04993444352475,5.549172020869518
101.56319839272145,12.312596680959619,37.079732532973296,5.555702226036691
